bookId,eid,location_name,category_name,fromDate,toDate,created,status
cs_0n869aCX,46986,Heritage Collection Reading Rooms,Heritage Collections Reading Rooms,2021-11-10,2021-11-10T13:00:00+11:00,2021-11-06T16:21:07+11:00,Confirmed
cs_0n8QwQUo,46986,Heritage Collection Reading Rooms,Heritage Collections Reading Rooms,2021-11-09,2021-11-09T13:00:00+11:00,2021-11-03T13:43:38+11:00,Confirmed
cs_0n8QwQUo,46986,Heritage Collection Reading Rooms,Heritage Collections Reading Rooms,2021-11-09,2021-11-09T16:00:00+11:00,2021-11-03T13:43:38+11:00,Confirmed
cs_0nN9WzHX,47600,Heritage Collection Reading Rooms,Heritage Collections Reading Rooms,2021-05-26,2021-05-26T13:45:00+10:00,2021-05-24T10:47:59+10:00,Confirmed
cs_0nNDdatX,43476,Information Centre,Meeting Rooms,2021-05-27,2021-05-27T14:45:00+10:00,2021-05-27T13:40:23+10:00,Confirmed
cs_0nNJ4BfX,46986,Heritage Collection Reading Rooms,Heritage Collections Reading Rooms,2021-05-18,2021-05-18T13:45:00+10:00,2021-05-17T16:35:59+10:00,Confirmed
cs_0nNbwzHX,46986,Heritage Collection Reading Rooms,Heritage Collections Reading Rooms,2021-05-24,2021-05-24T13:45:00+10:00,2021-05-20T12:47:32+10:00,Confirmed
cs_0nNlvnTX,46986,Heritage Collection Reading Rooms,Heritage Collections Reading Rooms,2021-05-28,2021-05-28T13:45:00+10:00,2021-05-26T15:35:34+10:00,Confirmed
cs_0nNn2BtX,46986,Heritage Collection Reading Rooms,Heritage Collections Reading Rooms,2021-05-18,2021-05-18T13:45:00+10:00,2021-05-14T11:28:55+10:00,Confirmed
cs_0nO28qio,46986,Heritage Collection Reading Rooms,Heritage Collections Reading Rooms,2021-03-25,2021-03-25T13:45:00+11:00,2021-03-22T17:34:37+11:00,Confirmed
cs_0nO28qio,46986,Heritage Collection Reading Rooms,Heritage Collections Reading Rooms,2021-03-25,2021-03-25T17:45:00+11:00,2021-03-22T17:34:37+11:00,Confirmed
cs_0nO3BWSX,46986,Heritage Collection Reading Rooms,Heritage Collections Reading Rooms,2021-04-08,2021-04-08T17:45:00+10:00,2021-04-01T15:33:21+11:00,Confirmed
cs_0nO3a9SX,46986,Heritage Collection Reading Rooms,Heritage Collections Reading Rooms,2021-04-05,2021-04-05T13:45:00+10:00,2021-04-01T17:50:24+11:00,Cancelled by Admin
cs_0nO469fX,44007,Information Centre,Meeting Rooms,2021-04-07,2021-04-07T14:45:00+10:00,2021-04-07T14:06:02+10:00,Confirmed
cs_0nO4xkhX,46986,Heritage Collection Reading Rooms,Heritage Collections Reading Rooms,2021-04-07,2021-04-07T13:45:00+10:00,2021-04-07T10:59:04+10:00,Confirmed
cs_0nO9jzHX,46986,Heritage Collection Reading Rooms,Heritage Collections Reading Rooms,2021-04-01,2021-04-01T17:45:00+11:00,2021-03-29T17:50:58+11:00,Confirmed
cs_0nORPVSX,46986,Heritage Collection Reading Rooms,Heritage Collections Reading Rooms,2021-04-06,2021-04-06T17:45:00+10:00,2021-03-30T15:19:11+11:00,Confirmed
cs_0nORyVtX,46986,Heritage Collection Reading Rooms,Heritage Collections Reading Rooms,2021-04-01,2021-04-01T13:45:00+11:00,2021-03-30T15:32:49+11:00,Confirmed
cs_0nOY9phX,43852,Information Centre,Meeting Rooms,2021-04-16,2021-04-16T16:45:00+10:00,2021-04-15T16:29:08+10:00,Confirmed
cs_0nOZkBtX,46986,Heritage Collection Reading Rooms,Heritage Collections Reading Rooms,2021-04-05,2021-04-05T13:45:00+10:00,2021-03-28T11:21:53+11:00,Confirmed
cs_0nOanktX,43476,Information Centre,Meeting Rooms,2021-04-12,2021-04-12T15:45:00+10:00,2021-04-11T20:59:28+10:00,Confirmed
cs_0nOdWzSX,46986,Heritage Collection Reading Rooms,Heritage Collections Reading Rooms,2021-04-15,2021-04-15T17:45:00+10:00,2021-04-12T12:47:08+10:00,Confirmed
cs_0nOdqnTX,44007,Information Centre,Meeting Rooms,2021-04-12,2021-04-12T14:45:00+10:00,2021-04-12T13:40:09+10:00,Confirmed
cs_0nOeRnTX,43476,Information Centre,Meeting Rooms,2021-04-14,2021-04-14T11:45:00+10:00,2021-04-14T10:49:24+10:00,Confirmed
cs_0nOkOYHX,43476,Information Centre,Meeting Rooms,2021-04-17,2021-04-17T17:45:00+10:00,2021-04-08T15:27:31+10:00,Cancelled by Admin
cs_0nOl3vTv,46986,Heritage Collection Reading Rooms,Heritage Collections Reading Rooms,2021-04-03,2021-04-03T17:45:00+11:00,2021-04-03T14:54:16+11:00,Cancelled by Admin
cs_0nOl3vTv,46986,Heritage Collection Reading Rooms,Heritage Collections Reading Rooms,2021-04-04,2021-04-04T13:45:00+10:00,2021-04-03T14:54:16+11:00,Cancelled by Admin
cs_0nOl3vTv,46986,Heritage Collection Reading Rooms,Heritage Collections Reading Rooms,2021-04-04,2021-04-04T17:45:00+10:00,2021-04-03T14:54:16+11:00,Cancelled by Admin
cs_0nOnPWSX,43476,Information Centre,Meeting Rooms,2021-03-20,2021-03-20T15:45:00+11:00,2021-03-19T16:48:57+11:00,Confirmed
cs_0nOwZnTX,46986,Heritage Collection Reading Rooms,Heritage Collections Reading Rooms,2021-04-01,2021-04-01T17:45:00+11:00,2021-03-24T10:16:18+11:00,Confirmed
cs_0nQ0g0Fo,46986,Heritage Collection Reading Rooms,Heritage Collections Reading Rooms,2022-01-26,2022-01-26T13:45:00+11:00,2022-01-23T17:37:26+11:00,Cancelled by Admin
cs_0nQ0g0Fo,46986,Heritage Collection Reading Rooms,Heritage Collections Reading Rooms,2022-01-26,2022-01-26T17:45:00+11:00,2022-01-23T17:37:26+11:00,Cancelled by Admin
cs_0nQ0m2co,46986,Heritage Collection Reading Rooms,Heritage Collections Reading Rooms,2022-01-24,2022-01-24T13:00:00+11:00,2022-01-22T14:15:55+11:00,Confirmed
cs_0nQ0m2co,46986,Heritage Collection Reading Rooms,Heritage Collections Reading Rooms,2022-01-24,2022-01-24T16:00:00+11:00,2022-01-22T14:15:55+11:00,Confirmed
